k,ratio,size,cluster_id
2,0.33377530274904976,45252,0
2,0.3030640668523677,3590,1
3,0.5306362520458265,19552,1
3,0.23598919648885888,17772,0
3,0.14090988018753256,11518,2
4,0.5299149677287163,19522,2
4,0.23606649760495915,17745,0
4,0.1431471185244021,11331,1
4,0.14754098360655737,244,3
5,0.30097936341378106,5718,1
5,0.2436235708003518,13644,4
5,0.13705069124423963,10850,0
5,0.47950404858299595,3952,3
5,0.5290230276604442,14678,2
6,0.31458991848278156,6011,4
6,0.2416640452972633,12716,2
6,0.13659605551497445,9583,1
6,0.5276435856146001,13041,5
6,0.48,5275,0
6,0.2283393501805054,2216,3
7,0.4687319607465846,5197,0
7,0.13418225228810188,12565,3
7,0.054587960257159555,8555,1
7,0.4854425749817118,13670,4
7,0.8446424491660955,4377,5
7,0.3369612538093165,2297,2
7,0.22741861531407612,2181,6
