k,ratio,size,cluster_id
2,0.31363636363636366,9020,1
2,0.3544193024128016,7999,0
3,0.29895749799518845,6235,1
3,0.3549100968188105,3615,2
3,0.3510949923280792,7169,0
4,0.45957587806494365,3018,0
4,0.28999698704429044,6638,3
4,0.3424345847554039,6153,1
4,0.2024793388429752,1210,2
5,0.4462423588637181,2781,3
5,0.2930034129692833,5860,2
5,0.3817162736760727,5174,1
5,0.25410447761194027,2680,4
5,0.09541984732824428,524,0
6,0.46355572695719244,2593,1
6,0.26127527216174184,1286,5
6,0.2564841498559078,2429,2
6,0.34901960784313724,5100,3
6,0.31748018356278684,4794,4
6,0.2460220318237454,817,0
7,0.4148494288681205,1926,4
7,0.25579598145285937,1294,3
7,0.2675681667036134,4511,2
7,0.35675814311361886,3899,6
7,0.41704918032786886,1525,1
7,0.25053809728798965,2323,5
7,0.46593121349772876,1541,0
